,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance
2386,No,Cash Back,Letter,Medium,2,No,Low,2,1,4,No,904.25
2387,No,Points,Letter,High,1,No,Low,2,1,4,Yes,1176.25
2388,No,Cash Back,Postcard,Medium,1,No,High,2,1,3,No,960.25
2389,No,Points,Postcard,High,1,No,High,3,1,2,Yes,1345.75
2390,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,4,Yes,965.5
2391,No,Air Miles,Letter,Medium,1,No,High,1,1,5,No,959.5
2392,No,Points,Postcard,Medium,1,No,Medium,2,1,3,No,1040.0
2393,No,Points,Letter,Medium,1,No,Low,2,1,4,Yes,951.75
2394,No,Cash Back,Letter,Medium,1,No,High,3,1,4,No,1080.5
2395,No,Air Miles,Postcard,High,1,No,High,2,1,4,No,348.5
2396,No,Points,Postcard,Medium,1,No,High,1,2,5,No,1077.25
2397,No,Air Miles,Letter,Medium,1,No,Low,2,1,4,No,933.75
2398,No,Air Miles,Postcard,Low,2,No,Low,1,1,4,Yes,1096.5
2399,No,Cash Back,Letter,Medium,1,Yes,High,2,1,4,No,968.75
2400,No,Points,Letter,Low,1,No,Low,3,1,4,No,1169.5
2401,No,Air Miles,Letter,Low,1,No,High,3,1,1,Yes,185.0
2402,No,Air Miles,Letter,Low,1,No,Medium,2,1,5,No,1251.5
2403,No,Cash Back,Postcard,High,2,No,High,3,1,3,No,1092.25
2404,No,Air Miles,Postcard,Medium,1,No,High,1,1,4,Yes,1184.0
2405,No,Cash Back,Postcard,Medium,2,No,High,2,2,4,No,1052.25
2406,No,Air Miles,Postcard,High,1,No,High,2,2,4,Yes,915.0
2407,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,No,708.25
2408,No,Air Miles,Letter,Medium,2,No,Low,3,2,6,Yes,1216.5
2409,No,Cash Back,Letter,Medium,1,No,High,3,1,2,Yes,1096.5
2410,No,Points,Letter,High,1,No,Low,3,1,3,Yes,1037.25
2411,No,Points,Letter,Low,2,No,Medium,2,1,5,No,947.75
2412,No,Air Miles,Postcard,High,1,No,Medium,2,1,1,Yes,136.5
2413,No,Points,Letter,High,1,Yes,High,2,1,4,No,688.25
2414,No,Points,Postcard,Medium,2,Yes,Medium,2,1,2,No,176.0
2415,No,Points,Postcard,Medium,1,No,Low,1,1,5,Yes,756.0
2416,No,Points,Letter,Medium,2,Yes,Medium,3,1,4,No,1022.5
2417,No,Points,Postcard,High,1,Yes,Medium,2,2,3,Yes,987.75
2418,No,Air Miles,Letter,Low,1,No,High,2,1,5,No,718.0
2419,No,Air Miles,Letter,Medium,1,No,High,2,2,5,Yes,899.0
2420,No,Cash Back,Postcard,Medium,1,No,High,2,1,5,Yes,1187.5
2421,No,Air Miles,Letter,Medium,1,No,Low,2,1,3,Yes,967.5
2422,No,Points,Letter,Medium,2,No,High,2,1,4,No,1112.5
2423,No,Points,Postcard,Low,1,No,High,1,2,1,Yes,771.75
2424,No,Air Miles,Postcard,High,1,No,High,1,1,1,Yes,1731.75
2425,No,Air Miles,Postcard,Medium,1,No,High,1,2,4,No,993.5
2426,No,Points,Letter,Medium,1,No,Low,1,2,1,No,1621.5
2427,No,Points,Letter,Medium,2,No,Low,3,1,3,Yes,281.25
2428,No,Points,Letter,Medium,1,No,Low,2,1,4,Yes,981.25
2429,No,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,123.75
2430,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,237.5
2431,No,Cash Back,Letter,Medium,1,Yes,Medium,2,3,5,Yes,1256.25
2432,No,Cash Back,Postcard,High,1,No,High,2,1,2,No,944.0
2433,No,Cash Back,Letter,Medium,1,No,High,1,1,2,No,964.75
2434,No,Points,Postcard,Medium,1,No,High,1,2,4,Yes,1226.75
2435,No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,No,865.0
2436,No,Air Miles,Postcard,High,1,No,Medium,1,2,2,No,231.25
2437,No,Points,Postcard,Medium,1,No,High,3,2,3,Yes,236.0
2438,No,Air Miles,Letter,Low,2,No,Low,3,2,2,Yes,1125.5
2439,No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,949.75
2440,No,Air Miles,Postcard,High,1,No,Medium,2,1,5,No,698.0
2441,No,Cash Back,Letter,Medium,1,No,High,1,2,5,No,1387.5
2442,No,Points,Postcard,Medium,2,Yes,High,3,1,3,No,949.5
2443,No,Points,Postcard,Medium,1,Yes,High,3,1,4,Yes,1077.25
2444,No,Air Miles,Letter,Low,1,No,Low,2,1,2,Yes,951.0
2445,No,Air Miles,Letter,High,1,Yes,High,2,1,2,Yes,941.25
2446,No,Cash Back,Postcard,High,1,No,Medium,1,1,2,No,1127.0
2447,No,Air Miles,Letter,Medium,1,No,Medium,1,1,2,Yes,984.75
2448,No,Cash Back,Letter,Medium,1,Yes,Medium,1,1,4,No,938.5
2449,No,Points,Letter,Medium,1,No,Medium,2,1,4,No,678.0
2450,No,Points,Letter,Low,1,No,High,3,1,4,Yes,772.25
2451,No,Air Miles,Postcard,Medium,1,No,High,2,1,4,Yes,1327.75
2452,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,No,1610.25
2453,No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,1169.75
2454,No,Cash Back,Letter,Medium,1,No,High,2,1,4,No,192.75
2455,No,Air Miles,Postcard,High,1,No,High,2,1,4,Yes,833.25
2456,No,Cash Back,Letter,High,1,No,Low,1,1,6,No,959.0
2457,No,Air Miles,Postcard,Low,1,No,Medium,2,1,3,Yes,1743.5
2458,No,Points,Letter,Medium,1,No,Low,3,1,4,Yes,793.75
2459,No,Air Miles,Postcard,Medium,1,No,Low,3,1,3,No,970.0
2460,No,Cash Back,Postcard,High,2,No,Low,1,1,2,Yes,1089.25
2461,No,Cash Back,Postcard,Medium,1,Yes,Low,2,1,3,Yes,588.0
2462,No,Air Miles,Postcard,High,1,No,High,3,1,4,No,928.0
2463,No,Points,Postcard,High,1,No,High,2,2,3,Yes,693.75
2464,No,Air Miles,Letter,High,1,No,High,1,2,3,Yes,1249.0
2465,No,Air Miles,Postcard,High,1,No,High,2,1,4,Yes,327.0
2466,No,Points,Postcard,Medium,2,No,High,2,2,6,No,1361.75
2467,No,Points,Postcard,High,1,Yes,Medium,3,1,2,Yes,987.0
2468,No,Air Miles,Postcard,Medium,1,No,Low,1,1,3,No,1722.75
2469,No,Cash Back,Letter,Medium,2,No,High,2,1,4,Yes,1127.0
2470,No,Points,Letter,Low,1,No,Medium,1,1,3,No,137.5
2471,No,Air Miles,Letter,Medium,1,No,Medium,1,1,5,Yes,671.75
2472,No,Air Miles,Postcard,Low,2,No,Medium,1,1,4,No,1201.5
2473,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,370.0
2474,No,Air Miles,Letter,High,1,No,High,3,3,4,No,766.0
2475,No,Cash Back,Letter,Low,2,No,Low,2,1,4,Yes,1223.0
2476,No,Points,Postcard,Medium,1,Yes,Medium,3,1,4,Yes,1084.5
2477,No,Air Miles,Postcard,Medium,1,No,Low,2,1,3,No,210.5
2478,No,Points,Postcard,Low,2,No,High,2,2,4,Yes,1411.5
2479,No,Cash Back,Letter,Medium,2,No,Medium,1,2,3,Yes,1154.5
2480,No,Cash Back,Postcard,High,2,No,Low,2,1,3,Yes,940.0
2481,No,Points,Postcard,Low,1,No,High,1,2,3,Yes,1633.0
2482,No,Points,Postcard,Medium,1,Yes,High,1,1,3,Yes,197.25
2483,No,Air Miles,Letter,Medium,3,No,Low,3,1,5,No,918.5
2484,No,Cash Back,Letter,Low,1,Yes,Medium,2,1,4,No,1415.5
2485,No,Points,Postcard,High,1,No,High,2,1,4,No,228.0
2486,No,Points,Letter,High,2,No,Low,2,1,4,Yes,1294.75
2487,No,Cash Back,Letter,Medium,1,No,Medium,3,1,3,Yes,762.5
2488,No,Air Miles,Postcard,High,1,Yes,Low,1,1,3,Yes,804.0
2489,No,Air Miles,Postcard,Medium,2,No,Low,2,1,5,Yes,1279.75
2490,No,Points,Postcard,Medium,2,No,Medium,1,1,3,No,321.25
2491,No,Air Miles,Letter,Medium,1,No,Low,1,1,4,Yes,1202.5
2492,No,Points,Postcard,Low,1,No,Low,1,1,3,Yes,755.25
2493,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,794.75
2494,No,Cash Back,Postcard,Medium,1,Yes,Low,2,1,3,No,1053.25
2495,No,Points,Letter,Low,1,No,Low,1,1,1,Yes,1061.75
2496,No,Cash Back,Letter,Medium,2,No,Medium,1,1,4,Yes,891.25
2497,No,Cash Back,Letter,Medium,2,No,High,2,1,5,No,1120.0
2498,No,Air Miles,Letter,Medium,1,No,Medium,2,2,4,Yes,1043.75
2499,No,Air Miles,Letter,Medium,1,No,Low,1,1,3,Yes,1196.25
2500,No,Air Miles,Postcard,Low,2,No,Low,2,1,4,No,1261.75
2501,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,No,336.0
2502,No,Air Miles,Postcard,Medium,1,No,Medium,1,2,3,Yes,1570.5
2503,No,Points,Postcard,High,1,No,Low,2,1,2,Yes,254.75
2504,No,Points,Postcard,Low,1,Yes,High,1,1,4,No,982.75
2505,No,Cash Back,Letter,Medium,1,No,High,3,1,4,No,200.75
2506,No,Air Miles,Letter,Medium,1,No,High,1,1,2,No,1254.0
2507,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,3,No,986.0
2508,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,755.5
2509,No,Points,Postcard,Medium,1,No,High,3,1,3,Yes,1100.75
2510,No,Air Miles,Postcard,Low,1,No,High,2,1,3,No,1052.5
2511,No,Cash Back,Postcard,Medium,1,Yes,Low,3,2,3,Yes,1078.0
2512,No,Air Miles,Postcard,High,2,No,High,1,1,3,No,999.0
2513,No,Air Miles,Letter,Low,2,No,Medium,1,1,5,Yes,853.25
2514,No,Air Miles,Postcard,Low,1,Yes,Low,1,1,3,No,748.5
2515,No,Air Miles,Letter,High,1,No,High,2,1,3,Yes,993.25
2516,No,Air Miles,Postcard,High,1,No,Medium,2,1,3,Yes,1024.75
2517,No,Air Miles,Postcard,High,1,No,Low,2,1,4,Yes,762.5
2518,No,Points,Letter,High,1,No,Low,1,2,3,Yes,822.25
2519,No,Air Miles,Letter,Low,1,No,Medium,2,1,5,Yes,938.75
2520,No,Air Miles,Letter,High,1,No,High,1,1,3,No,803.0
2521,No,Points,Letter,Medium,1,No,High,2,1,3,No,921.25
2522,No,Air Miles,Postcard,Low,1,No,Low,3,1,3,No,994.5
2523,No,Air Miles,Postcard,Low,1,No,Low,1,1,4,Yes,953.0
2524,No,Air Miles,Letter,High,2,No,Medium,2,1,3,No,1145.0
2525,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,No,948.75
2526,No,Air Miles,Postcard,High,3,No,Low,2,1,2,No,270.5
2527,No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,806.25
2528,No,Cash Back,Postcard,Medium,2,No,Low,3,1,2,Yes,176.25
2529,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,1040.25
2530,No,Air Miles,Postcard,High,1,No,Medium,1,2,4,No,165.5
2531,No,Air Miles,Postcard,High,1,No,Medium,2,1,3,No,1297.75
2532,No,Cash Back,Postcard,Low,1,No,Low,1,1,3,Yes,1381.5
2533,No,Cash Back,Letter,Low,1,No,Low,2,1,5,Yes,802.5
2534,No,Air Miles,Letter,High,2,No,Medium,2,2,1,No,759.0
2535,No,Points,Postcard,Low,1,No,Low,1,2,4,Yes,908.25
2536,No,Cash Back,Letter,Medium,1,No,Low,1,1,5,No,926.75
2537,No,Points,Letter,Low,2,Yes,Medium,1,1,2,Yes,1042.75
2538,No,Cash Back,Letter,Low,1,No,Medium,2,1,6,No,993.0
2539,No,Points,Letter,Medium,1,No,High,2,1,4,Yes,1227.25
2540,No,Cash Back,Letter,High,2,No,Low,2,1,5,Yes,1204.75
2541,No,Cash Back,Postcard,Low,1,Yes,High,2,1,5,Yes,709.25
2542,No,Air Miles,Postcard,High,2,No,Medium,1,2,2,Yes,1025.75
2543,No,Air Miles,Postcard,Medium,1,Yes,Low,2,1,3,No,947.5
2544,No,Cash Back,Postcard,Low,3,No,High,2,1,3,Yes,97.5
2545,No,Points,Postcard,Medium,3,No,Low,3,1,4,Yes,988.75
2546,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,3,Yes,1113.5
2547,No,Cash Back,Letter,High,3,No,High,1,1,5,No,1069.75
2548,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,919.75
2549,No,Air Miles,Postcard,Medium,2,No,Low,3,1,5,Yes,999.0
2550,No,Cash Back,Letter,Medium,2,No,High,1,1,3,Yes,1677.5
2551,No,Cash Back,Letter,Medium,2,No,Medium,2,1,4,Yes,854.5
2552,No,Air Miles,Postcard,Medium,1,No,Medium,1,2,4,Yes,1055.25
2553,No,Air Miles,Postcard,Low,2,No,Medium,1,2,4,Yes,1175.75
2554,No,Air Miles,Postcard,Medium,2,No,Low,1,1,3,Yes,1184.5
2555,No,Cash Back,Letter,Medium,2,No,High,2,1,4,No,742.75
2556,No,Air Miles,Letter,Medium,1,Yes,Low,3,1,3,No,831.75
2557,No,Cash Back,Letter,Medium,2,No,Medium,2,1,4,Yes,218.25
2558,No,Air Miles,Postcard,High,2,No,High,1,2,1,No,173.5
2559,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,1097.75
2560,No,Cash Back,Letter,Medium,2,No,Medium,2,1,2,Yes,693.5
2561,No,Points,Postcard,Low,1,Yes,High,3,1,3,Yes,1206.25
2562,No,Points,Postcard,Medium,1,No,Low,3,1,5,Yes,1160.75
2563,No,Air Miles,Postcard,High,1,No,Low,3,1,4,No,285.5
2564,No,Air Miles,Letter,High,2,No,Low,1,1,3,Yes,1357.75
2565,No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,No,788.25
2566,No,Cash Back,Letter,Medium,1,No,Low,3,1,2,Yes,736.25
2567,No,Points,Letter,Low,2,No,Medium,2,1,1,Yes,1244.0
2568,No,Points,Letter,High,1,No,Low,1,1,3,Yes,903.75
2569,No,Cash Back,Postcard,High,2,No,Low,1,2,2,Yes,1127.25
2570,No,Cash Back,Letter,Low,1,No,Low,2,2,4,Yes,1119.5
2571,No,Air Miles,Letter,Medium,1,Yes,Medium,2,1,2,Yes,1061.75
2572,No,Cash Back,Postcard,Low,1,Yes,High,2,1,3,Yes,948.25
2573,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,2,Yes,1063.25
2574,No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,1097.25
2575,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,323.5
2576,No,Cash Back,Postcard,High,1,No,Low,1,1,3,No,271.5
2577,No,Cash Back,Letter,Low,1,No,Medium,2,1,2,No,1019.5
2578,No,Air Miles,Letter,Medium,1,Yes,Medium,3,2,4,Yes,945.0
2579,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1696.25
2580,No,Cash Back,Letter,High,2,No,Medium,1,1,4,No,1047.25
2581,No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,No,227.25
2582,No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,275.75
2583,No,Air Miles,Letter,High,1,No,Medium,1,1,6,Yes,1045.75
2584,No,Cash Back,Postcard,Low,1,Yes,High,1,2,4,Yes,1170.5
2585,No,Air Miles,Letter,Medium,2,Yes,High,2,1,3,Yes,920.0
2586,No,Air Miles,Postcard,High,1,No,High,2,1,4,No,254.0
2587,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,1084.25
2588,No,Cash Back,Letter,High,1,No,High,2,3,5,Yes,780.75
2589,No,Air Miles,Letter,High,1,No,Medium,1,1,5,No,1216.25
2590,No,Cash Back,Postcard,Low,1,No,Medium,2,1,5,No,318.0
2591,No,Air Miles,Postcard,Medium,1,No,Low,1,1,5,Yes,1135.0
2592,No,Points,Letter,Medium,1,No,Medium,1,1,3,Yes,303.5
2593,No,Cash Back,Letter,Medium,2,No,High,2,1,5,Yes,654.0
2594,No,Air Miles,Letter,High,1,No,High,1,1,4,Yes,1142.5
2595,No,Points,Letter,Low,1,No,Low,3,3,2,No,1254.5
2596,No,Points,Letter,Low,1,No,Medium,1,1,4,Yes,1294.75
2597,No,Cash Back,Letter,Low,2,No,Medium,2,1,3,Yes,1193.0
2598,No,Air Miles,Postcard,High,1,Yes,High,2,1,3,No,728.5
2599,No,Cash Back,Postcard,Medium,1,No,High,2,1,6,No,1165.75
2600,No,Air Miles,Postcard,High,1,Yes,Medium,3,2,5,Yes,789.5
2601,No,Points,Postcard,Low,1,No,Medium,2,2,3,No,812.25
2602,No,Air Miles,Letter,High,1,No,Medium,3,1,3,Yes,901.5
2603,No,Air Miles,Letter,Medium,1,No,Medium,3,2,3,Yes,685.0
2604,No,Points,Postcard,High,1,No,High,3,2,3,No,764.75
2605,No,Cash Back,Letter,Medium,2,No,High,2,2,4,Yes,1097.25
2606,No,Cash Back,Postcard,High,1,No,Low,2,1,2,Yes,1125.75
2607,No,Air Miles,Letter,High,1,No,High,2,2,4,No,161.5
2608,No,Points,Letter,Medium,1,No,Low,2,1,5,Yes,1159.25
2609,No,Points,Letter,Medium,1,No,Low,2,1,5,No,764.5
2610,No,Points,Postcard,High,1,No,Low,2,1,3,No,1427.75
2611,No,Cash Back,Postcard,Low,2,No,Low,2,1,2,No,833.25
2612,No,Air Miles,Postcard,Low,1,No,High,2,1,4,Yes,1101.5
2613,No,Air Miles,Postcard,Medium,1,No,High,1,1,3,Yes,1225.5
2614,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,1019.0
2615,No,Points,Postcard,Medium,1,No,Low,1,2,3,No,206.25
2616,No,Cash Back,Letter,Medium,1,No,Medium,2,1,2,Yes,1324.25
2617,No,Cash Back,Letter,High,1,No,Low,3,1,3,Yes,1723.5
2618,No,Cash Back,Postcard,High,1,No,High,2,1,3,Yes,1323.0
2619,No,Cash Back,Letter,Medium,2,No,Medium,2,2,2,Yes,871.25
2620,No,Air Miles,Letter,Medium,1,No,High,2,1,4,Yes,1602.75
2621,No,Cash Back,Postcard,Medium,1,No,High,3,1,3,No,1059.0
2622,No,Points,Letter,High,1,Yes,High,1,1,4,No,985.75
2623,No,Air Miles,Letter,Medium,1,No,High,2,1,4,Yes,876.5
2624,No,Points,Postcard,Medium,1,No,High,2,1,4,No,1091.0
2625,No,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,4,No,1134.0
2626,No,Cash Back,Postcard,High,1,No,Low,1,1,5,Yes,980.5
2627,No,Cash Back,Letter,Medium,1,No,High,1,1,3,No,856.0
2628,No,Points,Letter,Medium,1,No,High,3,1,4,No,966.5
2629,No,Cash Back,Postcard,Low,1,No,Low,3,1,2,Yes,1069.25
2630,No,Cash Back,Postcard,Low,1,No,High,2,1,3,No,1161.0
2631,No,Air Miles,Letter,Low,1,No,Medium,2,1,4,No,682.25
2632,No,Air Miles,Letter,High,2,No,Low,3,2,4,No,259.75
2633,No,Cash Back,Postcard,High,1,No,Low,3,1,5,Yes,1006.0
2634,No,Air Miles,Postcard,High,1,No,Medium,1,1,5,No,957.75
2635,No,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,757.75
2636,No,Points,Postcard,Medium,1,Yes,Medium,1,2,5,Yes,878.25
2637,No,Cash Back,Postcard,Medium,2,Yes,Low,3,3,3,No,714.0
2638,No,Points,Postcard,Medium,1,Yes,Low,3,1,4,No,658.5
2639,No,Points,Postcard,Medium,1,No,High,1,2,4,Yes,725.5
2640,No,Air Miles,Postcard,Medium,1,No,Medium,3,2,5,Yes,1038.5
2641,No,Points,Letter,Low,1,No,High,3,1,3,Yes,762.75
2642,No,Cash Back,Postcard,High,1,No,High,1,1,4,No,360.25
2643,No,Air Miles,Postcard,High,1,No,Medium,2,1,3,No,230.5
2644,No,Points,Letter,Medium,2,No,Low,3,1,5,Yes,749.5
2645,No,Air Miles,Postcard,High,1,No,High,2,1,3,No,1386.5
2646,No,Air Miles,Letter,Low,1,No,Low,3,1,4,Yes,697.75
2647,No,Points,Postcard,Low,1,Yes,Low,2,1,3,No,1059.5
2648,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,881.0
2649,No,Air Miles,Letter,Low,2,Yes,High,2,1,3,Yes,1097.75
2650,No,Air Miles,Postcard,Low,1,No,High,3,1,2,No,928.25
2651,No,Cash Back,Postcard,Low,1,No,Low,3,1,3,Yes,1093.25
2652,No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,Yes,1164.0
2653,No,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,767.25
2654,No,Points,Postcard,Medium,2,No,Low,1,1,2,No,862.5
2655,No,Cash Back,Letter,Low,1,Yes,Low,2,1,3,No,1024.5
2656,No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,1202.5
2657,No,Points,Letter,Medium,1,No,High,1,1,3,No,775.0
2658,No,Air Miles,Postcard,High,1,No,High,2,1,5,No,722.75
2659,No,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,1157.5
2660,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,4,Yes,283.75
2661,No,Cash Back,Postcard,High,1,Yes,High,1,1,3,No,1242.25
2662,No,Air Miles,Letter,Low,1,No,Low,1,1,3,No,961.0
2663,No,Points,Letter,High,1,No,High,2,1,3,No,144.0
2664,No,Cash Back,Letter,Medium,1,No,Low,3,1,4,Yes,1144.5
2665,No,Air Miles,Postcard,Low,1,No,High,2,1,3,Yes,278.75
2666,No,Air Miles,Letter,High,1,No,Medium,1,1,3,Yes,998.5
2667,No,Air Miles,Postcard,High,1,Yes,High,2,1,3,Yes,1070.0
2668,No,Points,Letter,High,2,No,Medium,1,1,4,Yes,1088.0
2669,No,Air Miles,Postcard,Medium,2,Yes,Medium,1,1,2,No,205.5
2670,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,714.0
2671,No,Air Miles,Letter,Low,1,No,Medium,2,1,1,Yes,817.75
2672,No,Points,Postcard,Medium,1,Yes,High,1,1,3,No,193.0
2673,No,Cash Back,Postcard,High,1,No,Low,2,1,2,Yes,1599.5
2674,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,692.5
2675,No,Cash Back,Postcard,Low,2,No,Low,2,1,4,Yes,911.75
2676,No,Air Miles,Postcard,Medium,1,Yes,Medium,1,2,4,Yes,947.0
2677,No,Air Miles,Postcard,Low,2,No,High,2,1,2,Yes,1051.75
2678,No,Cash Back,Postcard,High,2,No,High,3,2,2,Yes,930.5
2679,No,Points,Postcard,High,1,No,High,2,2,5,No,977.5
2680,No,Air Miles,Letter,Medium,2,Yes,Medium,3,1,3,Yes,808.75
2681,No,Air Miles,Letter,Medium,3,No,Medium,2,1,3,Yes,913.25
2682,No,Points,Letter,High,1,No,Low,3,1,3,No,1039.75
2683,No,Points,Postcard,Medium,1,Yes,Low,2,1,3,Yes,1088.0
2684,No,Air Miles,Letter,High,1,No,Medium,2,1,4,No,166.0
2685,No,Points,Letter,Low,1,Yes,High,1,1,3,Yes,1145.75
2686,No,Points,Postcard,Medium,1,Yes,High,1,1,4,Yes,802.5
2687,No,Points,Postcard,Low,1,No,High,1,1,2,Yes,828.0
2688,No,Points,Postcard,High,2,No,Medium,2,1,3,No,1080.0
2689,No,Cash Back,Letter,Medium,1,No,Medium,3,2,5,Yes,275.75
2690,No,Points,Letter,High,1,No,Low,1,1,5,Yes,1028.25
2691,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,5,Yes,728.25
2692,No,Points,Letter,Low,1,No,Medium,2,1,3,Yes,1120.5
2693,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,1170.75
2694,No,Points,Postcard,High,2,Yes,Low,3,1,3,Yes,1415.25
2695,No,Cash Back,Postcard,High,2,No,High,1,2,4,No,328.75
2696,No,Points,Letter,High,2,No,Medium,2,1,5,Yes,917.25
2697,No,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,3,Yes,1235.75
2698,No,Cash Back,Letter,Medium,2,No,High,1,2,2,Yes,1464.5
2699,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1171.75
2700,No,Air Miles,Letter,Medium,1,No,Low,2,1,3,No,214.0
2701,No,Points,Letter,Medium,1,Yes,Low,2,2,4,Yes,951.0
2702,No,Cash Back,Postcard,High,2,No,High,3,1,3,Yes,717.0
2703,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,No,1447.5
2704,No,Air Miles,Letter,High,1,No,High,2,1,2,Yes,1087.5
2705,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,Yes,1081.25
2706,No,Points,Letter,Medium,1,No,Low,1,2,3,Yes,1153.75
2707,No,Cash Back,Letter,Medium,1,No,Medium,2,2,5,Yes,1751.25
2708,No,Points,Postcard,Low,1,No,High,3,1,4,Yes,799.25
2709,No,Points,Postcard,High,2,No,High,1,1,5,Yes,826.0
2710,No,Points,Letter,Medium,1,Yes,Medium,1,1,4,Yes,1035.0
2711,No,Points,Postcard,Low,1,No,Medium,3,2,3,No,237.0
2712,No,Cash Back,Letter,Low,2,No,Low,1,2,4,Yes,1368.5
2713,No,Air Miles,Postcard,High,1,No,Medium,2,1,5,No,1097.5
2714,No,Air Miles,Postcard,Medium,3,No,Low,2,1,3,No,819.0
2715,No,Points,Postcard,Medium,2,No,Medium,2,1,4,No,923.5
2716,No,Cash Back,Letter,High,1,Yes,High,1,1,2,No,1284.75
2717,No,Points,Postcard,Medium,1,No,Medium,3,1,4,No,936.25
2718,No,Air Miles,Postcard,Low,2,No,Medium,2,1,4,No,774.0
2719,No,Points,Postcard,Medium,1,No,High,3,1,3,Yes,1223.5
2720,No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,674.75
2721,No,Points,Letter,Medium,1,No,High,2,1,4,Yes,640.25
2722,No,Points,Letter,Low,1,No,Low,2,1,3,No,1210.75
2723,No,Points,Letter,High,2,Yes,High,1,1,2,Yes,289.25
2724,No,Cash Back,Postcard,Low,1,No,Low,2,1,3,Yes,937.25
2725,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,5,Yes,874.0
2726,No,Points,Letter,Medium,1,No,Low,2,1,4,No,321.5
2727,No,Cash Back,Letter,Medium,1,No,Low,3,1,4,Yes,1031.75
2728,No,Points,Postcard,High,1,No,High,1,1,4,Yes,1013.0
2729,No,Cash Back,Letter,Medium,2,No,High,2,1,2,Yes,1217.75
2730,No,Air Miles,Letter,Medium,1,No,High,1,2,4,Yes,908.25
2731,No,Cash Back,Letter,Medium,1,No,Low,1,2,3,No,957.5
2732,No,Cash Back,Postcard,Medium,2,No,High,1,1,4,Yes,935.5
2733,No,Air Miles,Postcard,High,1,Yes,Medium,3,1,3,Yes,1280.5
2734,No,Points,Letter,Low,2,No,Medium,2,1,4,Yes,684.75
2735,No,Air Miles,Letter,Medium,2,No,Medium,1,2,4,No,950.5
2736,No,Cash Back,Postcard,Medium,1,No,High,2,2,2,Yes,954.5
2737,No,Cash Back,Postcard,High,1,Yes,Low,2,1,3,No,273.75
2738,No,Cash Back,Letter,Low,1,No,Low,3,1,4,Yes,239.0
2739,No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,1787.0
2740,No,Air Miles,Postcard,Low,3,No,Low,2,1,2,Yes,336.5
2741,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,948.25
2742,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,6,Yes,259.25
2743,No,Cash Back,Postcard,Medium,2,Yes,Medium,2,2,3,Yes,1822.75
