,Offer Accepted,Reward,Mailer Type,Income Level,Credit Rating,# Credit Cards Held,Household Size
1653,No,Points,Letter,Low,Low,2,3
1654,No,Points,Postcard,Low,Medium,1,3
1655,No,Air Miles,Postcard,High,High,1,3
1656,No,Cash Back,Postcard,Low,Low,1,4
1657,No,Cash Back,Postcard,Low,High,2,4
1658,No,Cash Back,Postcard,High,Low,1,3
1659,No,Cash Back,Letter,High,Low,1,4
1660,No,Points,Letter,High,Low,3,3
1661,No,Cash Back,Letter,Medium,Low,1,3
1662,No,Points,Postcard,High,High,2,2
1663,No,Air Miles,Postcard,Medium,High,1,3
1664,No,Points,Postcard,Low,High,1,2
1665,No,Cash Back,Postcard,Medium,Low,1,4
1666,No,Points,Postcard,High,Medium,2,1
1667,No,Cash Back,Postcard,High,High,2,2
1668,No,Air Miles,Letter,Medium,Low,2,4
1669,No,Cash Back,Letter,Medium,Low,2,5
1670,No,Cash Back,Postcard,Medium,Medium,2,4
1671,No,Cash Back,Postcard,High,High,1,4
1672,No,Cash Back,Letter,Medium,Low,2,3
1673,No,Points,Postcard,High,High,2,3
1674,No,Cash Back,Postcard,High,Medium,3,3
1675,No,Points,Letter,Medium,High,3,1
1676,No,Points,Letter,Medium,Medium,2,5
1677,No,Cash Back,Letter,Medium,High,2,4
1678,No,Points,Postcard,High,Low,2,4
1679,No,Points,Postcard,High,Medium,2,2
1680,No,Points,Letter,Medium,Medium,1,6
1681,No,Cash Back,Postcard,Medium,High,1,3
1682,No,Cash Back,Letter,Low,Low,3,2
1683,No,Cash Back,Letter,Medium,High,1,3
1684,No,Cash Back,Letter,Low,High,1,3
1685,No,Points,Postcard,High,Medium,2,2
1686,No,Points,Letter,Medium,Low,2,5
1687,No,Air Miles,Letter,High,Medium,2,3
1688,No,Air Miles,Letter,Medium,High,1,3
1689,No,Points,Letter,Medium,Medium,1,1
1690,No,Points,Letter,Low,High,3,4
1691,No,Points,Letter,Medium,Medium,1,5
1692,No,Cash Back,Letter,Low,High,1,2
1693,No,Cash Back,Letter,Medium,Low,1,3
1694,No,Points,Postcard,High,Low,2,4
1695,No,Air Miles,Letter,Low,Low,1,4
1696,No,Points,Postcard,Medium,High,1,3
1697,No,Air Miles,Postcard,High,High,1,5
1698,No,Points,Letter,Low,Medium,2,5
1699,No,Cash Back,Letter,High,Medium,1,1
1700,No,Cash Back,Letter,High,Low,1,2
1701,No,Points,Letter,High,High,2,5
1702,No,Points,Letter,High,Medium,3,4
1703,No,Cash Back,Postcard,Medium,High,2,2
1704,No,Cash Back,Letter,High,High,2,4
1705,No,Points,Postcard,High,Medium,1,3
1706,No,Points,Letter,Medium,Low,2,3
1707,No,Points,Postcard,Medium,Low,2,3
1708,No,Points,Letter,Low,High,2,4
1709,No,Points,Postcard,High,Medium,2,2
1710,No,Air Miles,Postcard,Medium,Medium,1,2
1711,No,Points,Postcard,Low,Medium,1,4
1712,No,Cash Back,Letter,Low,High,2,3
1713,No,Cash Back,Letter,Low,High,2,3
1714,No,Cash Back,Postcard,Low,High,2,2
1715,No,Cash Back,Letter,Low,Low,1,4
1716,No,Cash Back,Postcard,Low,High,1,3
1717,No,Cash Back,Postcard,Medium,Low,2,4
1718,No,Points,Letter,Medium,High,2,1
1719,No,Points,Postcard,Low,Medium,1,3
1720,No,Cash Back,Postcard,Low,Low,3,4
1721,No,Cash Back,Letter,Medium,Medium,1,3
1722,No,Air Miles,Letter,Medium,Low,1,5
1723,No,Points,Letter,High,Low,2,4
1724,No,Points,Letter,High,High,2,3
1725,No,Air Miles,Postcard,High,High,1,4
1726,No,Air Miles,Postcard,High,High,2,4
1727,No,Cash Back,Letter,Medium,Low,2,4
1728,No,Cash Back,Postcard,Medium,High,3,2
1729,No,Cash Back,Letter,High,Medium,2,2
1730,No,Cash Back,Letter,Medium,Low,2,4
1731,No,Points,Postcard,Medium,High,2,4
1732,No,Air Miles,Letter,Medium,Medium,2,4
1733,No,Air Miles,Postcard,High,Medium,3,4
1734,No,Cash Back,Letter,Medium,High,3,3
1735,No,Cash Back,Postcard,High,High,1,2
1736,No,Points,Postcard,Medium,High,1,4
1737,No,Air Miles,Letter,Low,Medium,2,3
1738,No,Air Miles,Postcard,High,Low,2,3
1739,No,Cash Back,Letter,Medium,High,1,3
1740,No,Cash Back,Letter,Medium,Low,3,4
1741,No,Points,Letter,Low,High,2,1
1742,No,Points,Letter,Low,Low,1,4
1743,No,Points,Letter,Low,Medium,1,3
1744,No,Cash Back,Letter,Medium,Low,2,3
1745,No,Cash Back,Postcard,Medium,Low,1,6
1746,No,Points,Letter,Medium,Medium,3,2
1747,No,Air Miles,Postcard,Medium,High,2,4
1748,No,Air Miles,Postcard,Medium,Low,2,2
1749,No,Points,Postcard,Low,High,2,3
1750,No,Points,Postcard,Low,Medium,2,2
1751,No,Cash Back,Postcard,Low,Low,2,4
1752,No,Cash Back,Postcard,Medium,Medium,2,4
1753,No,Points,Postcard,Low,High,2,4
1754,No,Cash Back,Postcard,Medium,High,2,3
1755,No,Air Miles,Postcard,Medium,Low,1,3
1756,No,Points,Postcard,Medium,Low,2,4
1757,No,Points,Postcard,High,Low,2,5
1758,No,Points,Postcard,Low,Medium,2,4
1759,No,Points,Letter,Medium,High,2,3
1760,No,Points,Postcard,High,Medium,1,2
1761,No,Points,Postcard,Medium,High,1,4
1762,No,Cash Back,Letter,High,Medium,3,3
1763,No,Air Miles,Postcard,Low,Low,3,2
1764,No,Points,Letter,High,Low,3,3
1765,No,Cash Back,Letter,High,Medium,2,4
1766,No,Air Miles,Postcard,Medium,Low,3,3
1767,No,Air Miles,Letter,Medium,Medium,1,2
1768,No,Cash Back,Letter,Low,Medium,1,3
1769,No,Points,Letter,High,Low,1,4
1770,No,Cash Back,Postcard,Medium,Low,2,4
1771,No,Air Miles,Postcard,Low,Medium,1,2
1772,No,Cash Back,Postcard,Low,Low,2,4
1773,No,Cash Back,Letter,Medium,Medium,2,3
1774,No,Points,Postcard,High,High,2,4
1775,No,Points,Postcard,Medium,Medium,3,2
1776,No,Cash Back,Postcard,Low,High,2,4
1777,No,Cash Back,Postcard,Medium,Medium,1,3
1778,No,Air Miles,Letter,Low,Low,2,2
1779,No,Points,Letter,Medium,Medium,1,4
1780,No,Cash Back,Postcard,Medium,High,2,2
1781,No,Points,Letter,Low,High,2,3
1782,No,Points,Postcard,Low,Low,1,4
1783,No,Cash Back,Postcard,High,Medium,1,3
1784,No,Cash Back,Letter,Low,Medium,2,3
1785,No,Points,Letter,Medium,Medium,1,3
1786,No,Points,Postcard,Medium,Low,1,4
1787,No,Cash Back,Postcard,High,Medium,2,5
1788,No,Air Miles,Letter,High,High,2,4
1789,No,Cash Back,Letter,Medium,Medium,2,3
1790,No,Points,Postcard,High,Medium,3,4
1791,No,Cash Back,Letter,Low,High,2,3
1792,No,Points,Letter,Medium,Medium,2,4
1793,No,Points,Postcard,Medium,Medium,3,4
1794,No,Cash Back,Letter,Low,Medium,2,4
1795,No,Air Miles,Letter,Medium,Low,1,5
1796,No,Points,Postcard,Low,High,1,4
1797,No,Points,Postcard,High,High,2,4
1798,No,Points,Postcard,Medium,Medium,1,1
1799,No,Air Miles,Postcard,Medium,High,3,4
1800,No,Air Miles,Postcard,High,Low,2,3
1801,No,Cash Back,Letter,Low,Medium,3,3
1802,No,Air Miles,Postcard,Medium,Medium,1,3
1803,No,Points,Postcard,High,Low,2,6
1804,No,Points,Postcard,High,Low,1,4
1805,No,Cash Back,Letter,Medium,Medium,3,3
1806,No,Points,Postcard,Medium,Medium,2,3
1807,No,Air Miles,Postcard,High,High,3,5
1808,No,Cash Back,Postcard,High,Medium,3,4
1809,No,Cash Back,Letter,Medium,High,1,4
1810,No,Air Miles,Postcard,Medium,High,1,3
1811,No,Points,Postcard,Low,High,2,4
1812,No,Points,Letter,Medium,High,2,3
1813,No,Points,Postcard,Medium,Medium,2,4
1814,No,Cash Back,Letter,High,Medium,3,4
1815,No,Air Miles,Letter,Medium,Low,2,3
1816,No,Points,Letter,Medium,Medium,1,5
1817,No,Cash Back,Postcard,Low,High,1,3
1818,No,Air Miles,Postcard,Medium,Medium,1,5
1819,No,Air Miles,Letter,Low,High,3,4
1820,No,Air Miles,Postcard,Low,Medium,3,2
1821,No,Cash Back,Postcard,Low,Low,2,4
1822,No,Points,Letter,Medium,Low,1,3
1823,No,Cash Back,Letter,High,Low,2,5
1824,No,Cash Back,Letter,Medium,High,2,5
1825,No,Cash Back,Letter,Medium,Medium,2,2
1826,No,Cash Back,Postcard,Medium,Medium,1,3
1827,No,Points,Postcard,Low,High,2,4
1828,No,Air Miles,Postcard,Low,Low,2,4
1829,No,Points,Letter,Low,Low,1,3
1830,No,Cash Back,Letter,Medium,High,1,2
1831,No,Points,Postcard,Low,Medium,2,4
1832,No,Cash Back,Letter,High,Low,1,4
1833,No,Cash Back,Postcard,Medium,High,2,3
1834,No,Air Miles,Letter,Medium,Medium,2,4
1835,No,Air Miles,Postcard,High,High,2,4
1836,No,Cash Back,Letter,High,Medium,2,4
1837,No,Air Miles,Postcard,Medium,Low,2,4
1838,No,Cash Back,Postcard,Low,Low,1,5
1839,No,Air Miles,Postcard,Low,High,3,3
1840,No,Air Miles,Postcard,High,High,1,4
1841,No,Air Miles,Letter,Medium,High,2,5
1842,No,Points,Postcard,Medium,Medium,1,3
1843,No,Cash Back,Letter,Medium,High,1,2
1844,No,Air Miles,Letter,Medium,Low,2,4
1845,No,Cash Back,Postcard,Medium,Low,2,5
1846,No,Points,Letter,Medium,High,1,1
1847,No,Air Miles,Postcard,Medium,High,2,3
1848,No,Air Miles,Letter,Medium,High,3,4
1849,No,Air Miles,Letter,Medium,Low,2,5
1850,No,Air Miles,Postcard,High,Low,3,3
1851,No,Air Miles,Postcard,Low,Medium,1,3
1852,No,Cash Back,Postcard,High,Medium,2,4
1853,No,Air Miles,Letter,High,High,3,4
1854,No,Cash Back,Postcard,Medium,High,1,5
1855,No,Points,Letter,Medium,Medium,1,2
1856,No,Air Miles,Letter,High,Low,2,3
1857,No,Points,Postcard,Low,High,2,3
1858,No,Cash Back,Letter,Medium,Low,2,4
1859,No,Points,Letter,Low,Low,2,2
1860,No,Air Miles,Postcard,High,Medium,2,3
1861,No,Air Miles,Postcard,High,Medium,2,3
1862,No,Cash Back,Postcard,Medium,Medium,2,5
1863,No,Air Miles,Letter,Medium,Medium,2,3
1864,No,Points,Letter,High,High,3,3
1865,No,Cash Back,Letter,Medium,Low,3,4
1866,No,Air Miles,Letter,High,High,2,6
1867,No,Cash Back,Postcard,Medium,High,1,3
1868,No,Air Miles,Letter,Low,Medium,3,1
1869,No,Points,Letter,Medium,High,1,3
1870,No,Points,Letter,Medium,Low,2,3
1871,No,Air Miles,Postcard,Low,High,2,1
1872,No,Cash Back,Letter,Medium,Medium,2,4
1873,No,Points,Postcard,High,Medium,3,2
1874,No,Points,Letter,Medium,High,1,5
1875,No,Points,Postcard,High,Medium,1,4
1876,No,Points,Postcard,Medium,High,1,2
1877,No,Cash Back,Letter,High,High,3,2
1878,No,Cash Back,Letter,Medium,Medium,2,3
1879,No,Points,Letter,High,Medium,2,5
1880,No,Points,Postcard,Low,High,1,3
1881,No,Cash Back,Letter,Medium,Medium,2,5
1882,No,Points,Postcard,Low,High,1,3
1883,No,Air Miles,Letter,High,Low,2,4
1884,No,Points,Letter,Medium,Low,1,3
1885,No,Cash Back,Letter,Low,Low,2,3
1886,No,Points,Letter,Medium,High,2,5
1887,No,Cash Back,Letter,Medium,Low,2,4
1888,No,Points,Letter,Medium,High,3,5
1889,No,Air Miles,Postcard,High,High,2,3
1890,No,Air Miles,Postcard,Medium,High,1,4
1891,No,Points,Letter,High,High,1,2
1892,No,Air Miles,Postcard,Low,Low,1,3
1893,No,Points,Postcard,Medium,Low,3,2
1894,No,Points,Postcard,Medium,Low,3,3
1895,No,Air Miles,Letter,High,Medium,3,2
1896,No,Air Miles,Postcard,High,High,2,4
1897,No,Air Miles,Letter,Low,Medium,1,2
1898,No,Air Miles,Postcard,Medium,High,2,2
1899,No,Cash Back,Postcard,Low,Medium,3,5
1900,No,Cash Back,Postcard,Medium,High,2,2
1901,No,Air Miles,Postcard,Medium,High,1,2
1902,No,Points,Letter,Medium,Medium,2,5
1903,No,Cash Back,Postcard,Low,Medium,3,4
1904,No,Cash Back,Letter,Medium,Medium,2,4
1905,No,Points,Letter,Low,Low,1,2
1906,No,Cash Back,Letter,High,Low,2,5
1907,No,Cash Back,Letter,Low,Medium,1,4
1908,No,Air Miles,Postcard,Medium,Low,3,2
1909,No,Air Miles,Postcard,Medium,Medium,2,3
1910,No,Air Miles,Letter,Medium,Low,3,5
1911,No,Cash Back,Letter,Medium,High,2,2
1912,No,Cash Back,Postcard,High,Low,2,4
1913,No,Points,Postcard,Medium,Medium,1,3
1914,No,Cash Back,Letter,Low,Medium,1,2
1915,No,Cash Back,Postcard,Low,Medium,1,3
1916,No,Air Miles,Letter,Medium,High,2,3
1917,No,Air Miles,Postcard,Medium,High,1,4
1918,No,Air Miles,Letter,Medium,Low,3,3
1919,No,Points,Postcard,Medium,Low,2,3
1920,No,Points,Letter,Medium,Low,2,4
1921,No,Points,Letter,Medium,Low,1,2
1922,No,Cash Back,Letter,Medium,Medium,2,3
1923,No,Cash Back,Postcard,Medium,Medium,2,2
1924,No,Air Miles,Letter,Medium,Medium,3,2
1925,No,Cash Back,Letter,High,Low,2,3
1926,No,Cash Back,Letter,Medium,Medium,2,4
1927,No,Cash Back,Letter,High,Medium,1,4
1928,No,Air Miles,Letter,Low,High,2,2
1929,No,Cash Back,Letter,Medium,High,2,3
1930,No,Air Miles,Letter,High,Medium,1,3
1931,No,Cash Back,Letter,Low,High,2,3
1932,No,Air Miles,Letter,Low,Low,1,3
1933,No,Air Miles,Postcard,Low,Medium,2,5
1934,No,Air Miles,Letter,High,Low,2,3
1935,No,Cash Back,Postcard,Medium,High,2,3
1936,No,Points,Letter,Medium,High,2,3
1937,No,Points,Letter,Medium,High,2,2
1938,No,Points,Letter,Medium,Low,2,3
1939,No,Air Miles,Postcard,Low,Low,3,5
1940,No,Points,Postcard,Medium,High,2,3
1941,No,Cash Back,Postcard,Medium,Low,1,4
1942,No,Cash Back,Letter,Medium,High,2,4
1943,No,Cash Back,Letter,Medium,High,1,3
1944,No,Points,Postcard,Medium,High,2,4
1945,No,Air Miles,Postcard,Medium,Medium,2,4
1946,No,Air Miles,Letter,Medium,Low,3,3
1947,No,Cash Back,Postcard,High,Low,1,3
1948,No,Cash Back,Letter,Medium,Medium,1,2
1949,No,Air Miles,Letter,Low,Medium,1,4
1950,No,Cash Back,Letter,High,Low,2,3
1951,No,Points,Postcard,High,High,3,2
1952,No,Air Miles,Letter,Medium,Low,2,5
1953,No,Points,Letter,Medium,High,2,4
1954,No,Air Miles,Postcard,High,Medium,2,4
1955,No,Cash Back,Postcard,High,Low,3,2
1956,No,Air Miles,Postcard,High,Medium,2,4
1957,No,Cash Back,Postcard,Medium,Medium,1,6
1958,No,Air Miles,Postcard,Low,Medium,1,4
1959,No,Points,Letter,Medium,Low,2,4
1960,No,Cash Back,Postcard,High,Low,2,3
1961,No,Air Miles,Postcard,High,High,2,2
1962,No,Air Miles,Letter,Medium,Low,2,5
1963,No,Air Miles,Postcard,Medium,Medium,2,4
1964,No,Cash Back,Letter,Low,High,2,1
1965,No,Air Miles,Letter,Medium,Low,3,3
1966,No,Cash Back,Postcard,High,High,2,2
1967,No,Cash Back,Postcard,Low,Low,2,5
1968,No,Cash Back,Letter,Low,Low,1,3
1969,No,Points,Letter,Low,Medium,2,2
1970,No,Cash Back,Letter,Medium,Medium,1,2
1971,No,Cash Back,Letter,Medium,Low,3,4
1972,No,Cash Back,Letter,High,High,2,4
1973,No,Air Miles,Postcard,Low,Medium,3,3
1974,No,Points,Letter,Low,High,1,5
1975,No,Points,Postcard,Medium,Medium,2,4
1976,No,Points,Postcard,High,Low,2,3
1977,No,Air Miles,Postcard,Medium,Low,1,3
1978,No,Air Miles,Letter,Medium,Medium,2,4
1979,No,Points,Letter,Medium,Medium,2,1
1980,No,Points,Letter,Medium,High,3,3
1981,No,Cash Back,Postcard,Low,High,3,3
1982,No,Air Miles,Letter,Medium,Medium,2,3
1983,No,Points,Letter,Medium,Medium,2,3
1984,No,Points,Postcard,Medium,Low,2,5
1985,No,Points,Postcard,High,Medium,2,2
1986,No,Points,Postcard,Medium,Medium,2,3
1987,No,Points,Letter,High,Low,1,2
1988,No,Points,Postcard,Low,Medium,1,6
1989,No,Cash Back,Letter,High,Low,2,3
1990,No,Points,Letter,Low,Medium,2,2
1991,No,Cash Back,Letter,High,Medium,2,3
1992,No,Points,Letter,Medium,Low,1,4
1993,No,Points,Postcard,Medium,High,2,4
1994,No,Points,Postcard,Medium,High,2,5
1995,No,Points,Postcard,High,Medium,2,2
1996,No,Cash Back,Letter,Medium,Medium,1,4
1997,No,Points,Letter,Medium,Low,1,1
1998,No,Points,Letter,High,Medium,2,4
1999,No,Points,Letter,Medium,Low,1,5
2000,No,Cash Back,Letter,Medium,Medium,2,4
2001,No,Points,Letter,Medium,Medium,2,4
2002,No,Points,Postcard,Low,Medium,1,3
2003,No,Points,Postcard,Low,High,1,3
2004,No,Air Miles,Postcard,Medium,High,2,3
2005,No,Cash Back,Postcard,Medium,Medium,2,2
2006,No,Air Miles,Postcard,Medium,High,2,6
2007,No,Air Miles,Postcard,Low,High,1,4
2008,No,Points,Letter,Low,Low,2,4
2009,No,Cash Back,Postcard,Medium,High,2,4
2010,No,Air Miles,Postcard,High,High,2,2
2011,No,Air Miles,Letter,Low,Medium,1,4
2012,No,Air Miles,Postcard,Medium,High,2,5
2013,No,Points,Postcard,Medium,High,2,2
2014,No,Air Miles,Letter,Medium,Medium,2,4
2015,No,Air Miles,Postcard,Medium,Medium,1,2
2016,No,Air Miles,Postcard,High,Medium,2,5
2017,No,Air Miles,Postcard,Medium,Medium,2,3
2018,No,Cash Back,Letter,Low,High,1,3
2019,No,Cash Back,Postcard,High,High,2,2
2020,No,Cash Back,Letter,Low,High,3,5
2021,No,Points,Letter,Medium,Low,1,2
2022,No,Air Miles,Letter,Medium,Low,1,3
2023,No,Air Miles,Postcard,High,Low,1,4
2024,No,Cash Back,Letter,Medium,High,1,5
2025,No,Points,Postcard,Medium,High,2,1
2026,No,Cash Back,Letter,Medium,Medium,1,4
2027,No,Points,Letter,Medium,Low,1,3
2028,No,Points,Postcard,Medium,Medium,2,2
2029,No,Points,Letter,High,Medium,1,5
2030,No,Points,Letter,Medium,High,2,5
2031,No,Cash Back,Postcard,Medium,High,2,2
2032,No,Cash Back,Letter,High,High,1,3
2033,No,Air Miles,Postcard,Medium,High,2,2
2034,No,Air Miles,Postcard,Medium,Medium,1,4
2035,No,Cash Back,Letter,Medium,Low,2,4
2036,No,Cash Back,Postcard,High,High,2,4
2037,No,Points,Postcard,Low,Medium,1,4
2038,No,Cash Back,Letter,Medium,High,1,4
2039,No,Air Miles,Postcard,Medium,High,1,4
2040,No,Cash Back,Postcard,Low,Low,2,2
2041,No,Air Miles,Letter,High,Low,1,2
2042,No,Points,Letter,Medium,Medium,2,5
2043,No,Points,Postcard,Medium,High,2,2
2044,No,Cash Back,Letter,High,High,2,3
2045,No,Points,Postcard,Medium,High,2,2
2046,No,Points,Postcard,Low,Medium,2,3
2047,No,Air Miles,Postcard,Medium,Low,2,3
2048,No,Air Miles,Postcard,Medium,Medium,2,4
2049,No,Cash Back,Letter,Medium,High,3,4
2050,No,Air Miles,Postcard,Low,Medium,2,4
2051,No,Air Miles,Letter,Low,Medium,3,2
2052,No,Points,Postcard,Medium,Medium,1,3
2053,No,Air Miles,Postcard,Medium,Medium,3,4
2054,No,Points,Letter,Medium,High,1,2
2055,No,Points,Postcard,High,Low,1,4
2056,No,Points,Postcard,Low,Low,1,3
2057,No,Cash Back,Letter,Medium,High,1,5
2058,No,Points,Postcard,High,Medium,1,3
2059,No,Air Miles,Letter,Low,Medium,3,1
2060,No,Air Miles,Letter,High,Low,1,4
2061,No,Cash Back,Letter,High,High,3,5
2062,No,Cash Back,Postcard,Medium,Low,2,2
2063,No,Cash Back,Postcard,Low,Low,2,2
2064,No,Air Miles,Letter,Medium,High,1,2
2065,No,Points,Letter,Medium,Medium,3,3
2066,No,Air Miles,Postcard,High,Medium,1,5
2067,No,Points,Postcard,Medium,Low,2,3
2068,No,Air Miles,Postcard,Medium,High,2,3
2069,No,Cash Back,Letter,Medium,High,2,4
2070,No,Cash Back,Letter,Medium,Low,1,4
2071,No,Points,Letter,Low,High,1,4
2072,No,Cash Back,Letter,Medium,Low,1,6
2073,No,Cash Back,Letter,Medium,Low,1,4
2074,No,Air Miles,Postcard,Medium,Low,1,3
2075,No,Points,Postcard,Low,Medium,2,3
2076,No,Cash Back,Postcard,High,Low,1,2
2077,No,Cash Back,Letter,High,Low,1,4
2078,No,Points,Letter,Medium,Low,3,2
2079,No,Cash Back,Postcard,Medium,Low,1,3
2080,No,Air Miles,Postcard,Medium,Low,1,5
2081,No,Air Miles,Letter,Medium,High,2,2
2082,No,Air Miles,Postcard,Medium,Low,1,6
2083,No,Air Miles,Letter,High,High,3,3
2084,No,Air Miles,Letter,Medium,High,2,4
2085,No,Points,Postcard,High,Medium,1,4
2086,No,Points,Letter,Low,High,2,3
2087,No,Cash Back,Letter,Medium,High,1,4
2088,No,Air Miles,Letter,Low,Medium,1,2
2089,No,Cash Back,Postcard,Medium,Medium,1,3
2090,No,Points,Postcard,Medium,Medium,2,2
2091,No,Air Miles,Letter,High,Medium,2,2
2092,No,Points,Postcard,Medium,Low,1,4
2093,No,Air Miles,Letter,Medium,Medium,3,2
2094,No,Cash Back,Postcard,High,Medium,1,5
2095,No,Points,Letter,Low,High,2,4
2096,No,Cash Back,Postcard,Medium,High,1,6
2097,No,Cash Back,Letter,Low,Medium,2,1
2098,No,Cash Back,Postcard,Medium,High,2,2
2099,No,Cash Back,Postcard,High,Low,3,1
2100,No,Points,Letter,Medium,High,2,2
2101,No,Air Miles,Postcard,Medium,Medium,2,3
2102,No,Air Miles,Letter,Medium,High,1,4
2103,No,Cash Back,Postcard,Medium,Low,2,5
2104,No,Air Miles,Postcard,Medium,Low,1,4
2105,No,Points,Postcard,High,Medium,2,4
2106,No,Air Miles,Letter,Medium,Low,1,3
2107,No,Cash Back,Letter,Medium,Medium,2,3
2108,No,Points,Postcard,Medium,Low,1,5
2109,No,Cash Back,Postcard,Medium,High,2,4
2110,No,Points,Letter,Medium,High,2,3
2111,No,Air Miles,Postcard,Medium,High,1,5
2112,No,Points,Postcard,Low,Low,2,5
2113,No,Air Miles,Letter,Medium,Low,2,3
2114,No,Points,Postcard,High,Medium,3,5
2115,No,Cash Back,Postcard,High,Low,2,2
2116,No,Cash Back,Postcard,High,Low,1,5
2117,No,Points,Postcard,Low,High,1,3
2118,No,Air Miles,Letter,Medium,Low,1,3
2119,No,Points,Postcard,Medium,Low,2,2
2120,No,Cash Back,Letter,Medium,Low,2,3
2121,No,Points,Postcard,Medium,Medium,1,5
2122,No,Points,Letter,Low,Medium,1,2
2123,No,Air Miles,Postcard,Medium,High,3,5
2124,No,Cash Back,Letter,Medium,Medium,2,3
2125,No,Points,Letter,Medium,High,2,5
2126,No,Air Miles,Postcard,Medium,High,3,6
2127,No,Points,Letter,Medium,Medium,3,3
2128,No,Cash Back,Letter,Medium,Medium,1,4
2129,No,Cash Back,Letter,Low,Medium,1,2
2130,No,Cash Back,Letter,High,Low,3,3
2131,No,Cash Back,Letter,Medium,High,1,4
2132,No,Air Miles,Postcard,High,Low,1,3
2133,No,Cash Back,Letter,Medium,Medium,2,3
2134,No,Cash Back,Letter,Medium,Low,1,3
2135,No,Points,Postcard,High,Medium,1,5
2136,No,Cash Back,Postcard,Medium,Medium,2,4
2137,No,Points,Letter,Low,High,2,5
2138,No,Points,Letter,Medium,Medium,2,3
2139,No,Cash Back,Postcard,Medium,Medium,2,4
2140,No,Air Miles,Letter,High,High,2,4
2141,No,Air Miles,Letter,High,High,3,4
2142,No,Cash Back,Postcard,Medium,High,2,4
2143,No,Cash Back,Postcard,Medium,Medium,1,5
2144,No,Points,Letter,Low,High,1,3
2145,No,Cash Back,Letter,High,Medium,2,4
2146,No,Cash Back,Letter,High,High,1,5
2147,No,Points,Postcard,Medium,Medium,2,5
2148,No,Air Miles,Letter,Low,Medium,3,2
2149,No,Air Miles,Letter,Low,Medium,2,1
2150,No,Cash Back,Letter,High,High,2,4
2151,No,Air Miles,Letter,Medium,Low,1,6
2152,No,Cash Back,Letter,Medium,Low,1,4
2153,No,Cash Back,Postcard,Medium,Low,2,3
2154,No,Points,Letter,Medium,Medium,1,5
2155,No,Points,Letter,Low,Low,3,5
2156,No,Cash Back,Letter,Medium,Medium,1,3
2157,No,Cash Back,Postcard,Low,High,3,2
2158,No,Air Miles,Letter,Low,High,2,4
2159,No,Air Miles,Postcard,Low,Low,2,4
2160,No,Air Miles,Postcard,Low,Medium,2,3
2161,No,Cash Back,Postcard,Low,High,2,2
2162,No,Cash Back,Letter,Medium,Low,2,4
2163,No,Points,Postcard,Low,Low,2,3
2164,No,Air Miles,Postcard,Medium,High,1,3
2165,No,Points,Postcard,Medium,Medium,1,2
2166,No,Air Miles,Postcard,High,High,1,2
2167,No,Points,Letter,Low,High,3,3
2168,No,Cash Back,Postcard,Low,High,3,3
2169,No,Air Miles,Letter,Medium,High,3,4
2170,No,Points,Postcard,Medium,High,1,3
2171,No,Points,Letter,High,High,2,4
2172,No,Points,Letter,Medium,Low,1,3
2173,No,Cash Back,Postcard,Low,Medium,1,5
2174,No,Points,Postcard,High,Low,2,3
2175,No,Cash Back,Letter,High,Medium,1,2
2176,No,Air Miles,Postcard,Medium,High,1,3
2177,No,Cash Back,Letter,Medium,Low,2,5
2178,No,Points,Postcard,High,High,1,2
2179,No,Points,Postcard,High,Medium,2,4
2180,No,Points,Postcard,Medium,Medium,1,3
2181,No,Air Miles,Letter,Low,High,1,4
2182,No,Cash Back,Letter,Medium,High,2,3
2183,No,Cash Back,Letter,Medium,Low,3,5
2184,No,Cash Back,Letter,Low,Low,2,3
2185,No,Cash Back,Postcard,Medium,Medium,2,5
2186,No,Air Miles,Letter,Low,Medium,1,3
2187,No,Air Miles,Postcard,High,Low,1,4
2188,No,Air Miles,Letter,High,High,1,4
2189,No,Points,Letter,High,Medium,2,3
2190,No,Points,Letter,High,Medium,1,3
2191,No,Cash Back,Letter,Medium,High,2,2
2192,No,Cash Back,Postcard,Low,High,3,3
2193,No,Points,Letter,Medium,Medium,2,3
2194,No,Air Miles,Letter,Low,Low,2,3
2195,No,Cash Back,Letter,High,Medium,1,6
2196,No,Air Miles,Letter,Low,High,1,2
2197,No,Cash Back,Postcard,Medium,Low,2,4
2198,No,Air Miles,Letter,Medium,High,3,4
2199,No,Air Miles,Postcard,Medium,High,2,3
2200,No,Cash Back,Letter,Medium,Low,2,4
2201,No,Air Miles,Postcard,Medium,Medium,3,1
2202,No,Points,Postcard,Medium,High,2,4
2203,No,Cash Back,Postcard,Medium,Low,2,5
2204,No,Points,Postcard,Low,Medium,2,2
2205,No,Cash Back,Letter,High,Medium,1,3
2206,No,Cash Back,Postcard,Low,Medium,3,4
2207,No,Air Miles,Letter,Medium,Low,2,4
2208,No,Cash Back,Letter,High,Low,3,6
2209,No,Cash Back,Postcard,Low,Low,1,5
2210,No,Air Miles,Letter,Low,High,3,3
2211,No,Air Miles,Letter,Medium,Low,1,4
2212,No,Cash Back,Postcard,Medium,Low,2,1
2213,No,Points,Letter,High,Low,3,2
2214,No,Points,Postcard,Medium,Low,2,6
2215,No,Points,Letter,Medium,Low,2,4
2216,No,Air Miles,Postcard,High,Medium,1,4
